,exchangeCD,calendarDate,isOpen,prevTradeDate,isWeekEnd,isMonthEnd,isQuarterEnd,isYearEnd
269,CCFX,2008-09-26,1,2008-09-25,1,1,1,0
270,CCFX,2008-09-27,0,2008-09-26,0,0,0,0
271,CCFX,2008-09-28,0,2008-09-26,0,0,0,0
272,CCFX,2008-09-29,0,2008-09-26,0,0,0,0
273,CCFX,2008-09-30,0,2008-09-26,0,0,0,0
274,CCFX,2008-10-01,0,2008-09-26,0,0,0,0
275,CCFX,2008-10-02,0,2008-09-26,0,0,0,0
276,CCFX,2008-10-03,0,2008-09-26,0,0,0,0
277,CCFX,2008-10-04,0,2008-09-26,0,0,0,0
278,CCFX,2008-10-05,0,2008-09-26,0,0,0,0
279,CCFX,2008-10-06,1,2008-09-26,0,0,0,0
280,CCFX,2008-10-07,1,2008-10-06,0,0,0,0
281,CCFX,2008-10-08,1,2008-10-07,0,0,0,0
282,CCFX,2008-10-09,1,2008-10-08,0,0,0,0
283,CCFX,2008-10-10,1,2008-10-09,1,0,0,0
284,CCFX,2008-10-11,0,2008-10-10,0,0,0,0
285,CCFX,2008-10-12,0,2008-10-10,0,0,0,0
286,CCFX,2008-10-13,1,2008-10-10,0,0,0,0
287,CCFX,2008-10-14,1,2008-10-13,0,0,0,0
288,CCFX,2008-10-15,1,2008-10-14,0,0,0,0
289,CCFX,2008-10-16,1,2008-10-15,0,0,0,0
290,CCFX,2008-10-17,1,2008-10-16,1,0,0,0
291,CCFX,2008-10-18,0,2008-10-17,0,0,0,0
292,CCFX,2008-10-19,0,2008-10-17,0,0,0,0
293,CCFX,2008-10-20,1,2008-10-17,0,0,0,0
294,CCFX,2008-10-21,1,2008-10-20,0,0,0,0
295,CCFX,2008-10-22,1,2008-10-21,0,0,0,0
296,CCFX,2008-10-23,1,2008-10-22,0,0,0,0
297,CCFX,2008-10-24,1,2008-10-23,1,0,0,0
298,CCFX,2008-10-25,0,2008-10-24,0,0,0,0
299,CCFX,2008-10-26,0,2008-10-24,0,0,0,0
300,CCFX,2008-10-27,1,2008-10-24,0,0,0,0
301,CCFX,2008-10-28,1,2008-10-27,0,0,0,0
302,CCFX,2008-10-29,1,2008-10-28,0,0,0,0
303,CCFX,2008-10-30,1,2008-10-29,0,0,0,0
304,CCFX,2008-10-31,1,2008-10-30,1,1,0,0
305,CCFX,2008-11-01,0,2008-10-31,0,0,0,0
306,CCFX,2008-11-02,0,2008-10-31,0,0,0,0
307,CCFX,2008-11-03,1,2008-10-31,0,0,0,0
308,CCFX,2008-11-04,1,2008-11-03,0,0,0,0
309,CCFX,2008-11-05,1,2008-11-04,0,0,0,0
310,CCFX,2008-11-06,1,2008-11-05,0,0,0,0
311,CCFX,2008-11-07,1,2008-11-06,1,0,0,0
312,CCFX,2008-11-08,0,2008-11-07,0,0,0,0
313,CCFX,2008-11-09,0,2008-11-07,0,0,0,0
314,CCFX,2008-11-10,1,2008-11-07,0,0,0,0
315,CCFX,2008-11-11,1,2008-11-10,0,0,0,0
316,CCFX,2008-11-12,1,2008-11-11,0,0,0,0
317,CCFX,2008-11-13,1,2008-11-12,0,0,0,0
318,CCFX,2008-11-14,1,2008-11-13,1,0,0,0
319,CCFX,2008-11-15,0,2008-11-14,0,0,0,0
320,CCFX,2008-11-16,0,2008-11-14,0,0,0,0
321,CCFX,2008-11-17,1,2008-11-14,0,0,0,0
322,CCFX,2008-11-18,1,2008-11-17,0,0,0,0
323,CCFX,2008-11-19,1,2008-11-18,0,0,0,0
324,CCFX,2008-11-20,1,2008-11-19,0,0,0,0
325,CCFX,2008-11-21,1,2008-11-20,1,0,0,0
326,CCFX,2008-11-22,0,2008-11-21,0,0,0,0
327,CCFX,2008-11-23,0,2008-11-21,0,0,0,0
328,CCFX,2008-11-24,1,2008-11-21,0,0,0,0
329,CCFX,2008-11-25,1,2008-11-24,0,0,0,0
330,CCFX,2008-11-26,1,2008-11-25,0,0,0,0
331,CCFX,2008-11-27,1,2008-11-26,0,0,0,0
332,CCFX,2008-11-28,1,2008-11-27,1,1,0,0
333,CCFX,2008-11-29,0,2008-11-28,0,0,0,0
334,CCFX,2008-11-30,0,2008-11-28,0,0,0,0
335,CCFX,2008-12-01,1,2008-11-28,0,0,0,0
336,CCFX,2008-12-02,1,2008-12-01,0,0,0,0
337,CCFX,2008-12-03,1,2008-12-02,0,0,0,0
338,CCFX,2008-12-04,1,2008-12-03,0,0,0,0
339,CCFX,2008-12-05,1,2008-12-04,1,0,0,0
340,CCFX,2008-12-06,0,2008-12-05,0,0,0,0
341,CCFX,2008-12-07,0,2008-12-05,0,0,0,0
342,CCFX,2008-12-08,1,2008-12-05,0,0,0,0
343,CCFX,2008-12-09,1,2008-12-08,0,0,0,0
344,CCFX,2008-12-10,1,2008-12-09,0,0,0,0
345,CCFX,2008-12-11,1,2008-12-10,0,0,0,0
346,CCFX,2008-12-12,1,2008-12-11,1,0,0,0
347,CCFX,2008-12-13,0,2008-12-12,0,0,0,0
348,CCFX,2008-12-14,0,2008-12-12,0,0,0,0
349,CCFX,2008-12-15,1,2008-12-12,0,0,0,0
350,CCFX,2008-12-16,1,2008-12-15,0,0,0,0
351,CCFX,2008-12-17,1,2008-12-16,0,0,0,0
352,CCFX,2008-12-18,1,2008-12-17,0,0,0,0
353,CCFX,2008-12-19,1,2008-12-18,1,0,0,0
354,CCFX,2008-12-20,0,2008-12-19,0,0,0,0
355,CCFX,2008-12-21,0,2008-12-19,0,0,0,0
356,CCFX,2008-12-22,1,2008-12-19,0,0,0,0
357,CCFX,2008-12-23,1,2008-12-22,0,0,0,0
358,CCFX,2008-12-24,1,2008-12-23,0,0,0,0
359,CCFX,2008-12-25,1,2008-12-24,0,0,0,0
360,CCFX,2008-12-26,1,2008-12-25,1,0,0,0
361,CCFX,2008-12-27,0,2008-12-26,0,0,0,0
362,CCFX,2008-12-28,0,2008-12-26,0,0,0,0
363,CCFX,2008-12-29,1,2008-12-26,0,0,0,0
364,CCFX,2008-12-30,1,2008-12-29,0,0,0,0
365,CCFX,2008-12-31,1,2008-12-30,1,1,1,1
366,CCFX,2009-01-01,0,2008-12-31,0,0,0,0
367,CCFX,2009-01-02,0,2008-12-31,0,0,0,0
368,CCFX,2009-01-03,0,2008-12-31,0,0,0,0
369,CCFX,2009-01-04,0,2008-12-31,0,0,0,0
370,CCFX,2009-01-05,1,2008-12-31,0,0,0,0
371,CCFX,2009-01-06,1,2009-01-05,0,0,0,0
372,CCFX,2009-01-07,1,2009-01-06,0,0,0,0
373,CCFX,2009-01-08,1,2009-01-07,0,0,0,0
374,CCFX,2009-01-09,1,2009-01-08,1,0,0,0
375,CCFX,2009-01-10,0,2009-01-09,0,0,0,0
376,CCFX,2009-01-11,0,2009-01-09,0,0,0,0
377,CCFX,2009-01-12,1,2009-01-09,0,0,0,0
378,CCFX,2009-01-13,1,2009-01-12,0,0,0,0
379,CCFX,2009-01-14,1,2009-01-13,0,0,0,0
380,CCFX,2009-01-15,1,2009-01-14,0,0,0,0
381,CCFX,2009-01-16,1,2009-01-15,1,0,0,0
382,CCFX,2009-01-17,0,2009-01-16,0,0,0,0
383,CCFX,2009-01-18,0,2009-01-16,0,0,0,0
384,CCFX,2009-01-19,1,2009-01-16,0,0,0,0
385,CCFX,2009-01-20,1,2009-01-19,0,0,0,0
386,CCFX,2009-01-21,1,2009-01-20,0,0,0,0
387,CCFX,2009-01-22,1,2009-01-21,0,0,0,0
388,CCFX,2009-01-23,1,2009-01-22,1,1,0,0
389,CCFX,2009-01-24,0,2009-01-23,0,0,0,0
